Dist.,School,DBN,Grade Level,Type of School,Principal,Arts Education Liaision,Cultural & Arts Partners,Arts Discipline,Total Number of Students Served,Total Contact Hours Per Student,Dist.
,P.S. 199 Jessie Isador Straus,03M199,"0K,01,02,03,04,05,SE",Elementary School,Louise Xerri,Mila Dau,Center for Architecture,Visual Arts,,,
,P.S. 199 Jessie Isador Straus,03M199,"0K,01,02,03,04,05,SE",Elementary School,Louise Xerri,Mila Dau,Lincoln Center Education,Dance,,,
,P.S. 199 Jessie Isador Straus,03M199,"0K,01,02,03,04,05,SE",Elementary School,Louise Xerri,Mila Dau,Materials for the Arts,Visual Arts,,,
,P.S. 199 Jessie Isador Straus,03M199,"0K,01,02,03,04,05,SE",Elementary School,Louise Xerri,Mila Dau,National Dance Institute,Dance,,,
,P.S. 199 Jessie Isador Straus,03M199,"0K,01,02,03,04,05,SE",Elementary School,Louise Xerri,Mila Dau,National Dance Institute,Dance,,,
,P.S. 199 Jessie Isador Straus,03M199,"0K,01,02,03,04,05,SE",Elementary School,Louise Xerri,Mila Dau,New York Philharmonic,Music,,,
,P.S. 199 Jessie Isador Straus,03M199,"0K,01,02,03,04,05,SE",Elementary School,Louise Xerri,Mila Dau,Wingspan Arts,Theater,,,
,P.S. 199 Jessie Isador Straus,03M199,"0K,01,02,03,04,05,SE",Elementary School,Louise Xerri,Mila Dau,Wingspan Arts,Theater,,,
,P.S. 242 - The Young Diplomats Magnet Academy,03M242,"PK,0K,01,02,03,04,05,SE",Elementary School,Denise Gomez,Denise Desjardin,None,,,,
,P.S. 333 Manhattan School for Children,03M333,"0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Claire Lowenstein,Tatiana Hoover,Carnegie Hall Corporation,Music,,,
,P.S. 333 Manhattan School for Children,03M333,"0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Claire Lowenstein,Tatiana Hoover,Harmonize Kids,Theater,,,
,P.S. 333 Manhattan School for Children,03M333,"0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Claire Lowenstein,Tatiana Hoover,Lincoln Center Education,Theater,,,
,P.S. 333 Manhattan School for Children,03M333,"0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Claire Lowenstein,Tatiana Hoover,Lincoln Center Education,Dance,,,
,P.S. 333 Manhattan School for Children,03M333,"0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Claire Lowenstein,Tatiana Hoover,Lincoln Center Education,Visual Arts,,,
,P.S. 333 Manhattan School for Children,03M333,"0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Claire Lowenstein,Tatiana Hoover,Music and the Brain,Music,,,
,P.S. 333 Manhattan School for Children,03M333,"0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Claire Lowenstein,Tatiana Hoover,New Victory Theatre,Theater,,,
,P.S. 333 Manhattan School for Children,03M333,"0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Claire Lowenstein,Tatiana Hoover,New York City Ballet,Dance,,,
,P.S. 452,03M452,"PK,0K,01,02,03,04,05,SE",Elementary School,David Parker,Lori Collman,American Museum of Natural History,Visual Arts,,,
,P.S. 452,03M452,"PK,0K,01,02,03,04,05,SE",Elementary School,David Parker,Lori Collman,Big Apple Circus,Theater,,,
,P.S. 452,03M452,"PK,0K,01,02,03,04,05,SE",Elementary School,David Parker,Lori Collman,Carnegie Hall Corporation,Music,,,
,P.S. 452,03M452,"PK,0K,01,02,03,04,05,SE",Elementary School,David Parker,Lori Collman,Lincoln Center Film Society,Film/Media,,,
,P.S. 452,03M452,"PK,0K,01,02,03,04,05,SE",Elementary School,David Parker,Lori Collman,"Metropolitan Museum of Art, The",Visual Arts,,,
,P.S. 452,03M452,"PK,0K,01,02,03,04,05,SE",Elementary School,David Parker,Lori Collman,National Dance Institute,Dance,,,
,P.S. 452,03M452,"PK,0K,01,02,03,04,05,SE",Elementary School,David Parker,Lori Collman,New York Transit Museum,Visual Arts,,,
,P.S. 452,03M452,"PK,0K,01,02,03,04,05,SE",Elementary School,David Parker,Lori Collman,"Tenement Museum, The",Visual Arts,,,
,Special Music School,03M859,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",K - 12,Katherine Banucci-Smith,Katie Smith,Kaufman Music Center,Music,,,
,STEM Institute of Manhattan,03M241,"0K,01,02,03,04,05,SE",Elementary School,Marcia Hendricks,N/A,Learning Through an Expanded Arts Program (LEAP),Visual Arts,,,
,The Anderson School,03M334,"0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Jodi Hyde,Nicole Chandonnet,Dancing Classroom American Ballroom,Dance,,,
,The Anderson School,03M334,"0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Jodi Hyde,Nicole Chandonnet,Mr. Robert,Visual Arts,,,
,The Global Learning Collaborative,03M403,"09,10,11,12,SE",High School,Karla Chiluiza,Angel Crespo,Materials for the Arts,Dance,,,
,The Global Learning Collaborative,03M403,"09,10,11,12,SE",High School,Karla Chiluiza,Angel Crespo,Orchestra of St. Luke's,Dance,,,
,The Global Learning Collaborative,03M403,"09,10,11,12,SE",High School,Karla Chiluiza,Angel Crespo,Symphony Space,Dance,,,
,The Maxine Greene HS for Imaginative Inquiry,03M299,"09,10,11,12,SE",High School,Stephen Noonan,Pricilla Martinez,Lincoln Center Education,Theater,,,
,The Riverside School for Makers and Artists,03M191,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Lauren Keville,Lauren Keville,Marquis Studios,Visual Arts,,,
,The Urban Assembly School for Green Careers,03M402,"09,10,11,12,SE",High School,Madeleine Ciliotta Young,Brent Chamberlain,PublicColor,Visual Arts,,,
,"Urban Assembly School for Media Studies, The",03M307,"09,10,11,12,SE",High School,Cordelia Veve,Paulo Fonseca,Studio in a School Association,Visual Arts,,,
,Wadleigh Secondary School for the Performing & Visual Arts,03M415,"06,07,08,09,10,11,12,SE",Middle and High School,Daisy Fontanez,Ronald Jabradally,92nd Street YMCA,Music,,,
,Wadleigh Secondary School for the Performing & Visual Arts,03M415,"06,07,08,09,10,11,12,SE",Middle and High School,Daisy Fontanez,Ronald Jabradally,Apollo Theater,Visual Arts,,,
,Wadleigh Secondary School for the Performing & Visual Arts,03M415,"06,07,08,09,10,11,12,SE",Middle and High School,Daisy Fontanez,Ronald Jabradally,Caribbean Cultural Center - Visual Arts/Visual Arts Research & Res Ctr.,Dance,,,
,Wadleigh Secondary School for the Performing & Visual Arts,03M415,"06,07,08,09,10,11,12,SE",Middle and High School,Daisy Fontanez,Ronald Jabradally,Carnegie Hall Corporation,Music,,,
,Wadleigh Secondary School for the Performing & Visual Arts,03M415,"06,07,08,09,10,11,12,SE",Middle and High School,Daisy Fontanez,Ronald Jabradally,Cooper Union,Visual Arts,,,
,Wadleigh Secondary School for the Performing & Visual Arts,03M415,"06,07,08,09,10,11,12,SE",Middle and High School,Daisy Fontanez,Ronald Jabradally,Jose Limon Dance Company,Dance,,,
,Wadleigh Secondary School for the Performing & Visual Arts,03M415,"06,07,08,09,10,11,12,SE",Middle and High School,Daisy Fontanez,Ronald Jabradally,Joyce Theater,Dance,,,
,Wadleigh Secondary School for the Performing & Visual Arts,03M415,"06,07,08,09,10,11,12,SE",Middle and High School,Daisy Fontanez,Ronald Jabradally,Musica Sacra,Music,,,
,Wadleigh Secondary School for the Performing & Visual Arts,03M415,"06,07,08,09,10,11,12,SE",Middle and High School,Daisy Fontanez,Ronald Jabradally,Songs Of Solomon,Music,,,
,West End Secondary School,03M291,"06,07,08,SE",Middle School,Jessica Jenkins,Jessica Jenkins,Alvin Ailey Dance Foundation,Dance,,,
,West End Secondary School,03M291,"06,07,08,SE",Middle School,Jessica Jenkins,Jessica Jenkins,Marquis Studios,Visual Arts,,,
,West Prep Academy,03M421,"06,07,08,SE",Middle School,Carland Washington,Cidalia Costa,Art of Stepping,Dance,,,
,West Prep Academy,03M421,"06,07,08,SE",Middle School,Carland Washington,Cidalia Costa,NuVisions,Music,,,
,West Prep Academy,03M421,"06,07,08,SE",Middle School,Carland Washington,Cidalia Costa,Song of Solomon,Theater,,,
,Central Park East High School,04M555,"09,10,11,12,SE",High School,Bennett Lieberman,Domenic Difiglia,Young Audiences New York,Theater,,,
,Central Park East High School,04M555,"09,10,11,12,SE",High School,Bennett Lieberman,Domenic Difiglia,Young Audiences New York,Film/Media,,,
,Central Park East I,04M497,"PK,0K,01,02,03,04,05,SE",Elementary School,Gabriel Feldberg,Charlotte Cwikowski,Opus 118,,,,
,Central Park East I,04M497,"PK,0K,01,02,03,04,05,SE",Elementary School,Gabriel Feldberg,Charlotte Cwikowski,Culminations Group,,,,
,Central Park East II (formerly P.S. 050 Vito Marcantonio),04M964,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Naomi Smith,Vida Nazemian,92nd Street YMCA,Music,,,
,Central Park East II (formerly P.S. 050 Vito Marcantonio),04M964,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Naomi Smith,Vida Nazemian,92nd Street YMCA,Music,,,
,Central Park East II (formerly P.S. 050 Vito Marcantonio),04M964,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Naomi Smith,Vida Nazemian,About the Swing,Dance,,,
,Central Park East II (formerly P.S. 050 Vito Marcantonio),04M964,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Naomi Smith,Vida Nazemian,Opus 118,Music,,,
,Central Park East II (formerly P.S. 050 Vito Marcantonio),04M964,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Naomi Smith,Vida Nazemian,Rosie's Theatre Kids,Theater,,,
,Coalition School for Social Change,04M409,"09,10,11,12,SE",Doesn't come up on DOE website.  Try to call the school,,,,,,,
,Esperanza Preparatory Academy,04M372,"06,07,08,09,10,11,12,SE",Middle and High School,Luisa Morales,Alvaro Sburlati,Marquis Studios,Visual Arts,,,
,Global Technology Preparatory (Closed; merged with P.S. 007 Samuel Stern in 2018),04M406,"PK,0K,01,02,03,04,05,06,07,08",Elementary and Middle School,,,,,,,
,"Heritage School, The",04M680,"09,10,11,12,SE",High School,Dyanand Sugrim,Reuben Sinha,Urban Arts Partnership,Dance,,,
,"Heritage School, The",04M680,"09,10,11,12,SE",High School,Dyanand Sugrim,Reuben Sinha,Urban Arts Partnership,Music,,,
,Isaac Newton Middle School for Math & Science,04M825,"06,07,08,SE",Middle School,Florin Purice,Florin Purice,None,,,,
,James Weldon Johnson,04M057,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Nancy Jacqueline Diaz,Yaira Jimenez,92nd Street YMCA,Dance,,,
,M.S. 224 Manhattan East School for Arts & Academics,04M224,"06,07,08,SE",Middle School,Luis Genao,Arts Education Liaison: David Macaluso,Carnegie Hall Corporation,Music,,,
,M.S. 224 Manhattan East School for Arts & Academics,04M224,"06,07,08,SE",Middle School,Luis Genao,Arts Education Liaison: David Macaluso,Jazz at Lincoln Center,Music,,,
,M.S. 224 Manhattan East School for Arts & Academics,04M224,"06,07,08,SE",Middle School,Luis Genao,Arts Education Liaison: David Macaluso,Queens College Honor Band,Music,,,
,M.S. 224 Manhattan East School for Arts & Academics,04M224,"06,07,08,SE",Middle School,Luis Genao,Arts Education Liaison: David Macaluso,Salute to Music,Music,,,
,Manhattan Center for Science and Mathematics,04M435,"09,10,11,12,SE",High School,Jose Jimenez,Denise Winchester,None,,,,
,Mosaic Preparatory Academy,04M375,"PK,0K,01,02,03,04,05,SE",Elementary School,Lisette Caesar,Maria Chester,Broadway Inspirational Voices,Music,,,
,Mosaic Preparatory Academy,04M375,"PK,0K,01,02,03,04,05,SE",Elementary School,Lisette Caesar,Maria Chester,Guggenheim Museum,Visual Arts,,,
,P.S. 007 Samuel Stern,04M007,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,David Graeber,Linda Lunz,National Dance Institute,Dance,,,
,P.S. 083 Luis Munoz Rivera,04M083,"PK,0K,01,02,03,04,05,SE",Elementary School,Frances Castillo,Branden Jackson,El Museo Del Barrio,Visual Arts,,,
,P.S. 096 Joseph Lanzetta,04M096,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,David Pretto,David Pretto,"Doing Art Together, Inc",Visual Arts,,,
,P.S. 102 Jacques Cartier,04M102,"PK,0K,01,02,03,04,05,SE",Elementary School,Gaynell Taylor,Deborah Gibson,DMF Youth,Dance,,,
,P.S. 102 Jacques Cartier,04M102,"PK,0K,01,02,03,04,05,SE",Elementary School,Gaynell Taylor,Deborah Gibson,Rosie's Theatre Kids,Theater,,,
,P.S. 102 Jacques Cartier,04M102,"PK,0K,01,02,03,04,05,SE",Elementary School,Gaynell Taylor,Deborah Gibson,Uptown Dance Academy,Dance,,,
,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,04M108,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,William Gladstone,Kendra Brown,Alvin Ailey Dance Foundation,Dance,,,
,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,04M108,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,William Gladstone,Kendra Brown,Whitney Museum of American Art,Visual Arts,,,
,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,04M108,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,William Gladstone,Kendra Brown,Skyscraper Museum,Visual Arts,,,
,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,04M108,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,William Gladstone,Kendra Brown,Museum of the City of New York,Visual Arts,,,
,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,04M108,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,William Gladstone,Kendra Brown,Museum of Modern Art,Visual Arts,,,
,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,04M108,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,William Gladstone,Kendra Brown,Cooper Hewitt Museum,Visual Arts,,,
,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,04M108,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,William Gladstone,Kendra Brown,Museum of Natural History,Visual Arts,,,
,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,04M108,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,William Gladstone,Kendra Brown,New York Philharmonic,Music,,,
,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,04M108,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,William Gladstone,Kendra Brown,"Metropolitan Museum of Art, The",Visual Arts,,,
,P.S. 112 Jose Celso Barbosa,04M112,"PK,0K,01,02,SE",Elementary School,Eileen Reiter,Hannah Panniker,Alvin Ailey Dance Foundation,Dance,,,
,P.S. 112 Jose Celso Barbosa,04M112,"PK,0K,01,02,SE",Elementary School,Eileen Reiter,Hannah Panniker,Ballet Tech Foundation,--,--,--,
,P.S. 112 Jose Celso Barbosa,04M112,"PK,0K,01,02,SE",Elementary School,Eileen Reiter,Hannah Panniker,El Museo Del Barrio,Other,,,
,P.S. 112 Jose Celso Barbosa,04M112,"PK,0K,01,02,SE",Elementary School,Eileen Reiter,Hannah Panniker,Hall of Science,Other,,,
,P.S. 112 Jose Celso Barbosa,04M112,"PK,0K,01,02,SE",Elementary School,Eileen Reiter,Hannah Panniker,"Metropolitan Museum of Art, The",Visual Arts,,,
,P.S. 112 Jose Celso Barbosa,04M112,"PK,0K,01,02,SE",Elementary School,Eileen Reiter,Hannah Panniker,Museum of Natural History,Dance,,,
,P.S. 112 Jose Celso Barbosa,04M112,"PK,0K,01,02,SE",Elementary School,Eileen Reiter,Hannah Panniker,Museum of Natural History,Other,,,
,P.S. 112 Jose Celso Barbosa,04M112,"PK,0K,01,02,SE",Elementary School,Eileen Reiter,Hannah Panniker,Museum of the City of New York,Visual Arts,,,
,P.S. 112 Jose Celso Barbosa,04M112,"PK,0K,01,02,SE",Elementary School,Eileen Reiter,Hannah Panniker,Paper Bag Players,Theater,,,
,P.S. 112 Jose Celso Barbosa,04M112,"PK,0K,01,02,SE",Elementary School,Eileen Reiter,Hannah Panniker,Studio in a School Association,Visual Arts,,,
,P.S. 146 Ann M. Short,04M146,"PK,0K,01,02,03,04,05,SE",Elementary School,Mona Silfen,Helene Llull,--,Dance,,,
,P.S. 146 Ann M. Short,04M146,"PK,0K,01,02,03,04,05,SE",Elementary School,Mona Silfen,Helene Llull,92nd Street YMCA,--,--,--,
,P.S. 155 William Paca,04M155,"PK,0K,01,02,03,04,05,SE",Elementary School,Avionne Gumbs Cummings,None,None,,,,
,P.S. 171 Patrick Henry,04M171,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Dimitres Pantelidis,Donna Kim,Museum of Natural History,Visual Arts,,,
,P.S. 171 Patrick Henry,04M171,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Dimitres Pantelidis,Donna Kim,New-York Historical Society,Visual Arts,,,
,P.S. 171 Patrick Henry,04M171,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Dimitres Pantelidis,Donna Kim,Studio in a School Association,Visual Arts,,,
,P.S. 206 Jose Celso Barbosa,04M206,"03,04,05,06,07,08,SE",Elementary - Middle School,Camille Forbes,Cheryll Brooks,Ballet Tech Foundation,Dance,,,
,P.S. 38 Roberto Clemente,04M038,"PK,0K,01,02,03,04,05,SE",Elementary School,Carlina Santos Barton,Karen Orme,Guggenheim Museum,Visual Arts,,,
,Park East High School,04M495,"09,10,11,12,SE",High School,Kevin Mccarthy,Daiana Munoz,"Society of the Educational Arts, Inc. (SEA)",Theater,,,
,Renaissance School of the Arts,04M377,"06,07,08,SE",Middle School,Brian Bradley,Danielle Winsko,Carnegie Hall Corporation,Music,,,
,River East Elementary,04M037,"PK,0K,01,02,03,04,05,SE",Elementary School,Michael Panetta,Lauran Packard,92nd Street YMCA,Music,,,
,Talented and Gifted Young Scholars (Tag Young Scholars),04M012,"0K,01,02,03,04,05,06,07,08",Elementary and Middle School,Janette Cesar,Richard Faulkner,Circle in the Square Theatre School,Theater,,,
,Talented and Gifted Young Scholars (Tag Young Scholars),04M012,"0K,01,02,03,04,05,06,07,08",Elementary and Middle School,Janette Cesar,Richard Faulkner,"Metropolitan Museum of Art, The",Visual Arts,,,
,Talented and Gifted Young Scholars (Tag Young Scholars),04M012,"0K,01,02,03,04,05,06,07,08",Elementary and Middle School,Janette Cesar,Richard Faulkner,New Victory Theatre,Theater,,,
,The Bilingual Bicultural School,04M182,"0K,01,02,03,04,05,SE",Elementary School,Yazmin Perez,Yazmin Perez,"Society of the Educational Arts, Inc. (SEA)",Visual Arts,,,
,The Judith S. Kaye High School,04M310,"09,10,11,12,SE",High School,Andrew Brown,Ana Garcia,OTHER,--,--,--,
,The Lexington Academy,04M072,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Antonio Hernandez,N/A,Midori Foundation dba Midori & Friends,Music,,,
,Young Women's Leadership School,04M610,"06,07,08,09,10,11,12,SE",Middle and High School,Andrew Higginbotham,Marissa Connolly,92nd Street YMCA,Music,,,
,Young Women's Leadership School,04M610,"06,07,08,09,10,11,12,SE",Middle and High School,Andrew Higginbotham,Marissa Connolly,"Jewish Museum, The",Visual Arts,,,
D4,P.S. 146 Ann M. Short,04M146,"PK,0K,01,02,03,04,05,SE",Elementary School,Mona Silfen,Helene Llull,92nd Street YMCA --,--,--,--,
,Academy for Social Action (closed),05M367,"09,10,11,12,SE",High School,,,,,,,
,Columbia Secondary School,05M362,"06,07,08,09,10,11,12,SE",Middle and High School,Miriam Nightengale,Lenice Nelson,Alvin Ailey Dance Foundation,Dance,,,
,Eagle Academy for Young Men of Harlem,05M148,"06,07,08,09,10,SE",Middle and High School,Mahaliel H. Bethea II,Luis Landivar,Apollo Theater,Dance,,,
,Eagle Academy for Young Men of Harlem,05M148,"06,07,08,09,10,SE",Middle and High School,Mahaliel H. Bethea II,Luis Landivar,Apollo Theater,Dance,,,
